Classe;TeorRotulo;TeorDensimetro;NivelAcucar;Temperatura;CPJ_10k;CPJ_4k7;CPJ_3k19;CPJ_1k;CPJ_824R
Puro;39;38;5;18.8;20812.2;24077.1;24299.2;26003.6;26123.8
Puro;39;38;5;18.8;20519.4;24167.1;24389.8;26192.2;26322.1
Puro;39;38;5;18.8;20937.6;24079.6;24300.8;25996.4;26113.1
Puro;39;38;5;18.8;20619.0;24078.4;24300.1;26001.4;26119.0
Puro;39;38;5;18.8;20379.2;24156.2;24377.3;26137.9;26265.1
Puro;39;38;5;18.8;20880.0;24087.6;24312.6;26017.9;26136.7
Puro;39;38;5;18.8;20886.8;24091.6;24308.1;26009.6;26127.7
Puro;39;38;5;18.8;20800.1;24077.9;24299.3;26006.8;26127.3
Puro;39;38;5;18.8;20856.4;24088.9;24309.1;26014.1;26131.2
Puro;39;38;5;18.8;20908.6;24081.4;24303.6;26001.6;26121.3
Puro;39;38;5;18.8;20894.9;24095.1;24315.9;26024.1;26133.8
Puro;39;38;5;18.8;20989.2;24075.8;24295.2;25988.7;26109.3
Puro;39;38;5;18.8;20507.3;24169.5;24389.1;26192.1;26322.5
Puro;39;38;5;18.8;21117.9;24072.1;24295.1;25969.5;26098.1
Puro;39;38;5;18.8;20970.4;24081.3;24298.6;25989.2;26105.5
Puro;39;38;5;18.8;21025.2;24054.4;24282.1;25979.5;26102.3
Puro;39;38;5;18.8;20802.2;24078.4;24300.4;26005.1;26127.3
Puro;39;38;5;18.8;20806.8;24079.2;24302.8;26008.3;26127.4
Puro;39;38;5;18.8;21015.5;24079.7;24300.1;25993.0;26100.7
Puro;39;38;5;18.8;21079.3;24073.4;24295.8;25957.8;26097.2
Puro;39;38;5;18.8;20394.1;24154.8;24375.0;26139.2;26262.8
Puro;39;38;5;18.8;20951.8;24079.4;24299.1;25992.0;26109.9
Puro;39;38;5;18.8;20541.8;24137.5;24358.5;26110.3;26231.8
Puro;39;38;5;18.8;20560.6;24161.1;24380.9;26179.4;26309.5
Puro;39;38;5;18.8;20503.5;24142.0;24363.5;26120.4;26242.7
Puro;39;38;5;18.8;20491.9;24177.7;24396.9;26208.9;26338.4
Puro;39;38;5;18.8;20718.6;24085.4;24275.9;25981.9;26101.4
Puro;39;38;5;18.8;20923.2;24084.7;24301.3;25998.1;26117.1
Puro;39;38;5;18.8;20870.5;24092.7;24313.5;26019.1;26138.1
Puro;39;38;5;18.8;20650.2;24152.0;24372.5;26174.7;26306.2
Puro;39;38;5;18.8;21029.7;24078.7;24299.3;25985.6;26107.2
Puro;39;38;5;18.8;20486.3;24178.8;24399.7;26210.7;26340.1
Puro;39;38;5;18.8;20533.7;24166.8;24385.8;26186.0;26314.4
Puro;39;38;5;18.8;21098.8;24073.5;24296.5;25987.2;26100.0
Puro;39;38;5;18.8;20496.9;24177.2;24397.4;26201.5;26330.0
Puro;39;38;5;18.9;20841.8;24086.3;24310.5;26017.5;26138.8
Puro;39;38;5;18.9;20849.0;24086.9;24306.3;26009.8;26130.5
Puro;39;38;5;18.9;20834.2;24085.7;24310.6;26016.1;26139.8
Puro;39;38;5;18.9;20850.6;24087.2;24307.6;26015.7;26132.5
Puro;39;38;5;18.9;20837.6;24089.4;24308.7;26014.1;26134.5
Puro;39;38;5;19.0;20817.7;24079.3;24297.2;25995.2;26117.3
Puro;39;38;5;19.0;20823.8;24087.4;24307.1;26016.8;26145.5
Puro;39;38;5;19.0;20830.6;24088.4;24310.4;26019.2;26140.9
Puro;39;38;5;19.0;20814.4;24076.6;24298.9;26003.1;26123.7
Puro;39;38;5;19.0;20821.1;24078.9;24301.7;26006.8;26125.7
Puro;39;38;5;20.3;19771.4;24354.1;24583.3;26535.0;26668.0
Puro;39;38;5;20.3;20178.2;24290.1;24515.1;26440.8;26572.9
Puro;39;38;5;20.3;19719.3;24369.1;24597.4;26558.4;26694.9
Puro;39;38;5;20.3;19792.3;24355.1;24581.8;26539.6;26672.0
Puro;39;38;5;20.3;19707.7;24371.3;24598.5;26561.9;26696.4
Puro;39;38;5;20.3;19734.2;24364.0;24592.6;26552.2;26687.9
Puro;39;38;5;20.3;20021.9;24308.7;24535.6;26465.5;26601.9
Puro;39;38;5;20.3;19926.8;24327.5;24554.9;26494.2;26631.2
Puro;39;38;5;20.3;19899.0;24334.8;24563.6;26507.7;26643.5
Puro;39;38;5;20.3;20264.1;24272.7;24499.5;26419.7;26551.6
Puro;39;38;5;20.3;19815.2;24349.1;24577.3;26526.8;26666.4
Puro;39;38;5;20.3;20381.1;24259.4;24485.5;26389.4;26523.6
Puro;39;38;5;20.3;20557.2;24232.0;24462.7;26356.4;26489.2
Puro;39;38;5;20.3;19843.4;24350.3;24577.7;26526.3;26662.0
Puro;39;38;5;20.3;19954.6;24322.7;24550.4;26485.2;26620.1
Puro;39;38;5;20.3;19986.5;24315.5;24544.6;26479.9;26614.6
Puro;39;38;5;20.3;20110.7;24301.7;24525.8;26450.0;26584.8
Puro;39;38;5;20.3;19871.0;24340.6;24568.3;26517.6;26656.1
Puro;38;41;0;17.8;18407.5;25263.1;25500.8;27745.0;27928.1
Puro;38;41;0;17.8;18628.7;24825.6;25071.6;26903.1;27086.1
Puro;38;41;0;17.8;18453.7;24854.1;25113.7;26961.3;27833.4
Puro;38;41;0;17.8;18413.3;25259.7;25497.2;27729.7;27896.7
Puro;38;41;0;17.8;18508.8;24841.2;25095.9;26968.7;27090.6
Puro;38;41;0;17.8;18548.4;24843.3;25098.8;26935.0;27061.0
Puro;38;41;0;17.8;18433.1;25212.8;25450.1;27677.5;27822.8
Puro;38;41;0;17.8;18421.8;25232.9;25470.8;27656.3;27884.6
