Classe;TeorRotulo;TeorDensimetro;NivelAcucar;Temperatura;CPJ_10k;CPJ_4k7;CPJ_3k19;CPJ_1k;CPJ_824R
CONTAMINACAO ALTA;39;38;5;19.0;21428.2;23533.6;23736.1;25317.0;25426.1
CONTAMINACAO ALTA;39;38;5;19.1;21466.7;23528.1;23731.0;25312.8;25422.4
CONTAMINACAO ALTA;39;38;5;19.1;21746.4;23513.9;23717.8;25288.8;25398.2
CONTAMINACAO ALTA;39;38;5;19.1;21221.1;23551.2;23752.2;25341.0;25454.0
CONTAMINACAO ALTA;39;38;5;19.1;21526.4;23537.7;23742.7;25334.1;25440.3
CONTAMINACAO ALTA;39;38;5;21.0;21089.1;23737.0;23948.0;25731.2;25851.1
CONTAMINACAO ALTA;39;38;5;21.0;21214.3;23717.7;23927.6;25703.6;25822.8
CONTAMINACAO ALTA;39;38;5;19.1;20878.2;23656.1;23867.3;25486.0;25601.2
CONTAMINACAO ALTA;39;38;5;19.1;20851.0;23662.1;23869.0;25492.2;25601.9
CONTAMINACAO ALTA;39;38;5;19.1;22309.6;23538.6;23749.4;25274.2;25384.6
CONTAMINACAO ALTA;39;38;5;19.2;20991.2;23628.0;23838.5;25411.1;25530.6
CONTAMINACAO ALTA;39;38;5;20.9;21185.3;23805.9;24018.0;25832.9;25959.2
CONTAMINACAO ALTA;39;38;5;20.9;21030.4;23860.9;24074.8;25951.3;26087.1
CONTAMINACAO MEDIA;39;38;5;19.2;21547.7;23675.6;23886.2;25448.6;25558.4
CONTAMINACAO MEDIA;39;38;5;19.2;21626.6;23670.6;23882.2;25411.1;25518.9
CONTAMINACAO MEDIA;39;38;5;19.2;20477.3;23795.9;24010.0;25613.6;25732.7
CONTAMINACAO MEDIA;39;38;5;19.2;21816.7;23633.1;23846.0;25355.1;25464.9
CONTAMINACAO MEDIA;39;38;5;19.2;20483.8;23811.6;24024.8;25655.1;25773.8
CONTAMINACAO MEDIA;39;38;5;20.8;21334.4;23872.3;24086.3;25863.9;25986.6
CONTAMINACAO MEDIA;39;38;5;20.8;20908.4;23941.4;24159.5;25965.5;26092.3
CONTAMINACAO MEDIA;39;38;5;26.0;20758.5;24244.4;24483.1;26394.1;26575.0
CONTAMINACAO MEDIA;39;38;5;26.0;21069.9;24141.3;24372.5;26358.2;26522.7
CONTAMINACAO MEDIA;39;38;5;26.0;20729.5;24255.4;24498.1;26441.0;26586.4
CONTAMINACAO MEDIA;39;38;5;26.0;20766.1;24237.4;24477.0;26401.0;26560.5
CONTAMINACAO MEDIA;39;38;5;26.0;20655.0;24261.9;24491.4;26425.5;26585.7
CONTAMINACAO MEDIA;39;38;5;26.0;20783.0;24233.4;24476.5;26467.1;26637.6
CONTAMINACAO MEDIA;39;38;5;26.0;20823.6;24168.5;24413.3;26373.1;26537.8
CONTAMINACAO MEDIA;39;38;5;26.0;20797.7;24214.9;24452.7;26430.3;26600.7
CONTAMINACAO MEDIA;39;38;5;26.0;20779.0;24226.7;24468.1;26448.8;26616.2
CONTAMINACAO MEDIA;39;38;5;26.0;20587.6;24275.5;24512.5;26414.1;26597.9
CONTAMINACAO MEDIA;39;38;5;26.0;20805.8;24171.0;24412.9;26366.3;26531.9
CONTAMINACAO MEDIA;39;38;5;26.2;20894.0;24182.3;24418.5;26394.6;26561.2
CONTAMINACAO MEDIA;39;38;5;26.2;20976.2;24166.2;24403.1;26387.9;26554.6
CONTAMINACAO MEDIA;39;38;5;26.2;20848.7;24181.1;24420.3;26382.2;26547.3
CONTAMINACAO MEDIA;39;38;5;26.2;21033.0;24147.7;24380.7;26363.2;26528.1
CONTAMINACAO MEDIA;39;38;5;26.2;20916.1;24175.0;24412.9;26392.5;26557.3
CONTAMINACAO MEDIA;39;38;5;26.2;20993.4;24159.1;24393.6;26377.4;26545.8
CONTAMINACAO MEDIA;39;38;5;26.2;21013.4;24152.1;24389.1;26370.7;26537.5
CONTAMINACAO MEDIA;39;38;5;26.2;20870.1;24175.2;24415.7;26387.0;26554.6
CONTAMINACAO MEDIA;39;38;5;26.2;20935.3;24169.3;24406.7;26383.9;26551.3
CONTAMINACAO MEDIA;39;38;5;19.2;21639.4;23708.1;23921.9;25461.4;25586.9
CONTAMINACAO MEDIA;39;38;5;19.2;20888.0;23848.7;24062.3;25678.3;25794.1
CONTAMINACAO MEDIA;39;38;5;19.2;21178.0;23805.3;24017.9;25622.0;25736.7
CONTAMINACAO MEDIA;39;38;5;19.2;22343.4;23634.1;23842.3;25314.5;25421.7
CONTAMINACAO MEDIA;39;38;5;20.7;21606.3;23925.0;24140.3;25919.3;26038.8
CONTAMINACAO MEDIA;39;38;5;20.7;22583.3;23808.9;24021.7;25744.2;25867.2
CONTAMINACAO BAIXA;39;38;5;19.1;20888.5;23886.5;24102.7;25701.9;25807.3
CONTAMINACAO BAIXA;39;38;5;19.1;21063.2;23848.2;24061.9;25634.0;25745.6
CONTAMINACAO BAIXA;39;38;5;19.1;20947.4;23869.3;24083.5;25672.6;25788.3
CONTAMINACAO BAIXA;39;38;5;19.1;20848.0;23892.1;24109.2;25706.6;25820.4
CONTAMINACAO BAIXA;39;38;5;19.1;22388.8;23712.2;23925.6;25403.7;25517.5
CONTAMINACAO BAIXA;39;38;5;20.6;21144.4;24067.9;24288.7;26100.6;26229.1
CONTAMINACAO BAIXA;39;38;5;19.0;21858.4;23889.2;24110.5;25641.9;25761.0
CONTAMINACAO BAIXA;39;38;5;19.0;22011.5;23835.9;24056.2;25540.6;25650.9
CONTAMINACAO BAIXA;39;38;5;19.0;21781.8;23848.3;24070.2;25571.2;25683.3
CONTAMINACAO BAIXA;39;38;5;19.0;21666.2;23857.8;24079.5;25592.5;25707.9
CONTAMINACAO BAIXA;39;38;5;20.4;20587.4;24236.0;24461.2;26339.9;26472.5
CONTAMINACAO BAIXA;39;38;5;20.4;20390.1;24270.7;24497.4;26392.2;26523.0
PURA;39;38;5;18.8;20416.4;24152.5;24373.0;26136.3;26258.3
PURA;39;38;5;18.8;20481.0;24179.1;24397.8;26208.2;26339.3
PURA;39;38;5;18.8;20863.6;24086.3;24308.7;26012.8;26145.0
PURA;39;38;5;18.8;21003.4;24077.7;24297.6;25989.2;26107.2
PURA;39;38;5;19.0;20815.3;24077.0;24298.0;25999.6;26119.9
PURA;39;38;5;20.3;19753.8;24356.9;24585.2;26540.3;26675.2
PURA;39;38;5;20.3;20060.2;24307.1;24534.5;26462.8;26598.2
CONTAMINACAO ALTA;38;41;0;20.7;20629.8;24704.8;24964.0;27157.8;27352.0
CONTAMINACAO ALTA;38;41;0;20.7;20735.2;24687.6;24944.3;27122.2;27315.7
CONTAMINACAO ALTA;38;41;0;20.7;20349.4;24717.9;24966.6;27101.7;27329.0
CONTAMINACAO ALTA;38;41;0;20.7;20865.9;24671.3;24926.8;27092.4;27283.0
CONTAMINACAO ALTA;38;41;0;20.7;20514.8;24714.2;24971.8;27175.4;27368.9
CONTAMINACAO ALTA;38;41;0;20.7;20592.2;24703.3;24961.7;27156.8;27351.4
CONTAMINACAO ALTA;38;41;0;20.7;20550.6;24714.4;24971.8;27172.3;27366.2
CONTAMINACAO ALTA;38;41;0;20.7;20669.8;24697.2;24953.7;27142.7;27336.6
CONTAMINACAO ALTA;38;41;0;20.7;20429.5;24725.4;24982.1;27168.1;27352.8
CONTAMINACAO ALTA;38;41;0;21.4;20363.4;24737.3;24994.3;27177.8;27363.5
CONTAMINACAO ALTA;38;41;0;21.4;20378.1;24736.7;24991.8;27170.0;27363.4
CONTAMINACAO ALTA;38;41;0;21.4;20256.8;24743.7;25000.0;27228.1;27424.1
CONTAMINACAO ALTA;38;41;0;21.4;20265.1;24746.2;25002.5;27221.6;27415.5
CONTAMINACAO ALTA;38;41;0;21.4;20310.8;24736.3;24993.7;27189.5;27385.9
CONTAMINACAO ALTA;38;41;0;21.4;20313.8;24740.3;24997.7;27194.1;27382.5
CONTAMINACAO ALTA;38;41;0;21.4;20218.4;24753.7;25009.3;27241.5;27436.7
CONTAMINACAO ALTA;38;41;0;21.4;20340.9;24738.9;24993.9;27183.3;27370.3
CONTAMINACAO ALTA;38;41;0;21.4;20277.4;24740.1;24996.0;27207.6;27400.8
CONTAMINACAO ALTA;38;41;0;21.4;20198.4;24756.7;25012.0;27240.2;27432.7
CONTAMINACAO ALTA;38;41;0;22.3;20176.4;24756.8;25011.9;27258.0;27454.3
CONTAMINACAO ALTA;38;41;0;15.5;21877.7;24638.8;24890.8;26621.7;26737.5
CONTAMINACAO ALTA;38;41;0;15.6;21844.1;24502.1;24757.7;26344.1;26455.6
CONTAMINACAO ALTA;38;41;0;15.9;21912.5;24641.3;24894.3;26640.7;26758.9
CONTAMINACAO ALTA;38;41;0;16.2;22051.5;24642.3;24894.0;26622.8;26742.9
CONTAMINACAO ALTA;38;41;0;20.1;20880.9;24752.6;25006.3;26977.4;27119.2
CONTAMINACAO ALTA;38;41;0;20.1;20591.6;24806.2;25063.1;27065.8;27202.5
CONTAMINACAO ALTA;38;41;0;16.5;21739.0;24675.4;24925.3;26694.3;26809.6
CONTAMINACAO ALTA;38;41;0;16.9;21452.8;24717.2;24966.8;26822.8;26949.1
CONTAMINACAO ALTA;38;41;0;17.0;21504.6;24710.2;24959.3;26777.5;26899.5
CONTAMINACAO ALTA;38;41;0;17.3;21438.9;24722.7;24974.0;26790.6;26909.5
CONTAMINACAO ALTA;38;41;0;17.7;21398.0;24684.9;24938.5;26839.9;26972.1
CONTAMINACAO ALTA;38;41;0;20.0;20956.2;24749.3;24999.6;26982.1;27120.5
CONTAMINACAO ALTA;38;41;0;20.0;21300.4;24697.6;24944.5;26894.5;27028.2
CONTAMINACAO ALTA;38;41;0;25.9;19868.8;24827.1;25045.9;27247.6;27436.6
CONTAMINACAO ALTA;38;41;0;25.3;18910.7;25141.9;25397.6;27731.1;27903.0
CONTAMINACAO ALTA;38;41;0;25.3;18920.3;25146.3;25401.3;27739.9;27895.0
CONTAMINACAO ALTA;38;41;0;25.3;18913.1;25143.2;25389.7;27718.3;27912.8
CONTAMINACAO ALTA;38;41;0;25.3;18911.7;25144.4;25403.3;27738.0;27893.7
CONTAMINACAO ALTA;38;41;0;25.3;18934.6;25148.1;25401.0;27740.2;27897.4
CONTAMINACAO ALTA;38;41;0;25.3;18917.1;25139.7;25394.3;27725.2;27898.9
CONTAMINACAO ALTA;38;41;0;25.3;18931.5;25138.6;25393.2;27722.5;27893.9
CONTAMINACAO ALTA;38;41;0;25.3;18924.7;25136.2;25392.3;27721.3;27893.1
CONTAMINACAO ALTA;38;41;0;25.3;18937.0;25134.0;25389.1;27713.4;27886.4
CONTAMINACAO ALTA;38;41;0;25.3;18910.2;25144.2;25400.9;27735.2;27885.0
CONTAMINACAO ALTA;38;41;0;25.5;18947.8;25149.8;25401.3;27748.3;27910.5
CONTAMINACAO ALTA;38;41;0;25.5;18952.7;25148.5;25405.3;27758.4;27920.3
CONTAMINACAO ALTA;38;41;0;25.5;18973.3;25147.0;25389.6;27719.9;27933.1
CONTAMINACAO ALTA;38;41;0;25.5;19012.2;25153.9;25407.4;27779.2;27950.1
